pmid,target_mention,context_sentence,journal,year
30086713,NUDT4B,Inhibition of NUDT4B altered disease-relevant signalling in vitro.,Circulation,2024
30067046,AURKA,A screening campaign identified modulators of Aurora kinase A.,Free Radic Biol Med,2022
30077282,EEA1,A screening campaign identified modulators of Early endosome antigen 1.,Nat Rev Drug Discov,2023
30044092,PMEL,Melanocyte protein PMEL was investigated as a therapeutic target.,Nat Med,2023
30010982,IL15,Interleukin-15 was investigated as a therapeutic target.,Cell,2023
30073702,TBC1D3I,A screening campaign identified modulators of TBC1 domain family member 3I.,Diabetes,2023
30047511,ZNF728,ZNF728 expression correlated with treatment response.,Cancer Res,2022
30015574,FLT3,Receptor-type tyrosine-protein kinase FLT3 was investigated as a therapeutic target.,Cell,2025
30016840,LIN7A,A screening campaign identified modulators of Protein lin-7 homolog A.,J Immunol,2021
30072062,PSA,The cytosolic zinc aminopeptidase degraded tau and mitigated neurofibrillary pathology in transgenic models.,J Biol Chem,2022
30095284,SAA1,Serum amyloid A-1 protein was investigated as a therapeutic target.,Circulation,2025
30015693,PSMD7,Inhibition of PSMD7 altered disease-relevant signalling in vitro.,Cell,2024
30059162,HDAC1,Histone deacetylase 1 was investigated as a therapeutic target.,Blood,2023
30043970,MET,A screening campaign identified modulators of Hepatocyte growth factor receptor.,Diabetes,2021
30073889,FAM157B,Inhibition of FAM157B altered disease-relevant signalling in vitro.,Circulation,2025
30093392,GHRH,A screening campaign identified modulators of Somatoliberin.,J Biol Chem,2023
30096262,FFAR4,Free fatty acid receptor 4 was investigated as a therapeutic target.,Mol Cell,2023
30037634,ZNF500,A screening campaign identified modulators of Zinc finger protein 500.,Cancer Res,2025
30084881,TRBC1,Inhibition of TRBC1 altered disease-relevant signalling in vitro.,J Immunol,2022
30088045,NCR1,Inhibition of NCR1 altered disease-relevant signalling in vitro.,Cell,2021
30035846,NFATC2,"A screening campaign identified modulators of Nuclear factor of activated T-cells, cytoplasmic 2.",Cancer Res,2022
30082691,CCNF,CCNF expression correlated with treatment response.,J Immunol,2022
30011671,PEA15,PEA15 expression correlated with treatment response.,Cancer Res,2022
30015929,LIN7A,Inhibition of LIN7A altered disease-relevant signalling in vitro.,Cancer Res,2025
30036244,MYH7B,Myosin-7B was investigated as a therapeutic target.,Blood,2025
30018610,SRRM4,Inhibition of SRRM4 altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2025
30074800,FAM157B,A screening campaign identified modulators of Putative protein FAM157B.,Cell,2021
30076356,TBC1D3K,A screening campaign identified modulators of TBC1 domain family member 3K.,Endocrinology,2022
30089300,IL3RA,Interleukin-3 receptor subunit alpha was investigated as a therapeutic target.,Circulation,2021
30094529,CYP2D7,Inhibition of CYP2D7 altered disease-relevant signalling in vitro.,Circulation,2025
30063533,TIMM23,Inhibition of TIMM23 altered disease-relevant signalling in vitro.,Cell,2024
30060346,SFI1,A screening campaign identified modulators of Protein SFI1 homolog.,Endocrinology,2022
30052900,POM121C,Nuclear envelope pore membrane protein POM 121C was investigated as a therapeutic target.,Nat Rev Drug Discov,2021
30058918,IGHV3-9,Immunoglobulin heavy variable 3-9 was investigated as a therapeutic target.,J Biol Chem,2024
30048862,IGKC,Immunoglobulin kappa constant was investigated as a therapeutic target.,Mol Cell,2023
30063274,GALR2,Galanin receptor type 2 was investigated as a therapeutic target.,Blood,2025
30030205,IGLV4-60,Inhibition of IGLV4-60 altered disease-relevant signalling in vitro.,J Biol Chem,2021
30094212,PTGS2,A screening campaign identified modulators of Prostaglandin G/H synthase 2.,Endocrinology,2023
30083734,IL2RA,A screening campaign identified modulators of Interleukin-2 receptor subunit alpha.,Cancer Res,2025
30051622,LSM6,A screening campaign identified modulators of U6 snRNA-associated Sm-like protein LSm6.,Endocrinology,2023
30076764,IGHV3-53,A screening campaign identified modulators of Immunoglobulin heavy variable 3-53.,Cancer Res,2025
30032964,EPO,A screening campaign identified modulators of Erythropoietin.,J Biol Chem,2025
30098583,CBR1,CBR1 expression correlated with treatment response.,Endocrinology,2024
30027371,TBKBP1,TBKBP1 expression correlated with treatment response.,Endocrinology,2022
30028331,RND3,RND3 expression correlated with treatment response.,Free Radic Biol Med,2022
30091952,WNT9B,A screening campaign identified modulators of Protein Wnt-9b.,Nat Med,2023
30032491,IGKV1-39,IGKV1-39 expression correlated with treatment response.,Cell,2022
30063787,CRYBB3,CRYBB3 expression correlated with treatment response.,Blood,2023
30017146,KIT,A screening campaign identified modulators of Mast/stem cell growth factor receptor Kit.,Circulation,2022
30096968,PTK2,Focal adhesion kinase 1 was investigated as a therapeutic target.,Cell,2024
30055830,IGKV1-33,A screening campaign identified modulators of Immunoglobulin kappa variable 1-33.,Diabetes,2021
30012582,PEA15,Astrocytic phosphoprotein PEA-15 was investigated as a therapeutic target.,Circulation,2023
30058251,HDAC1,HDAC1 expression correlated with treatment response.,J Biol Chem,2022
30039924,GNB3,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 was investigated as a therapeutic target.,Endocrinology,2025
30085845,AXL,Inhibition of AXL altered disease-relevant signalling in vitro.,Cancer Res,2021
30076072,JCHAIN,A screening campaign identified modulators of Immunoglobulin J chain.,Mol Cell,2023
30064412,POR,A screening campaign identified modulators of NADPH--cytochrome P450 reductase.,Diabetes,2023
30075272,CAD,A screening campaign identified modulators of Multifunctional protein CAD.,Cancer Res,2023
30079834,IGLV5-52,Immunoglobulin lambda variable 5-52 was investigated as a therapeutic target.,J Immunol,2025
30015084,PDE7A,"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A was investigated as a therapeutic target.",J Immunol,2025
30062490,ADRA2A,A screening campaign identified modulators of Alpha-2A adrenergic receptor.,J Immunol,2021
30014604,NR4A1,A screening campaign identified modulators of Nuclear receptor subfamily 4immunitygroup A member 1.,Blood,2025
30045564,SLC25A16,Mitochondrial coenzyme A transporter SLC25A16 was investigated as a therapeutic target.,J Immunol,2025
30013971,SNAPC2,SNAPC2 expression correlated with treatment response.,Cancer Res,2022
30046869,CASR,Inhibition of CASR altered disease-relevant signalling in vitro.,J Immunol,2025
30031553,COPZ1,Inhibition of COPZ1 altered disease-relevant signalling in vitro.,Cancer Res,2024
30060045,F12,Inhibition of F12 altered disease-relevant signalling in vitro.,J Biol Chem,2021
30040634,MAPK11,Mitogen-activated protein kinase 11 was investigated as a therapeutic target.,J Biol Chem,2025
30050421,SOX15,Inhibition of SOX15 altered disease-relevant signalling in vitro.,Diabetes,2022
30051352,DYRK1A,A screening campaign identified modulators of Dual specificity tyrosine-phosphorylation-regulated kinase 1A.,Mol Cell,2023
30084931,TRPM8,TRPM8 expression correlated with treatment response.,Cell,2022
30095351,FFAR4,FFAR4 expression correlated with treatment response.,Nat Med,2022
30028630,POU2AF3,A screening campaign identified modulators of POU class 2 homeobox associating factor 3.,Nat Med,2021
30084200,PREP,A screening campaign identified modulators of Prolyl endopeptidase.,Blood,2021
30077589,IL18R1,Inhibition of IL18R1 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2025
30065830,ZNF157,A screening campaign identified modulators of Zinc finger protein 157.,J Immunol,2021
30061700,BMPR1A,Bone morphogenetic protein receptor type-1A was investigated as a therapeutic target.,Cell,2021
30034922,IGLV8-61,A screening campaign identified modulators of Immunoglobulin lambda variable 8-61.,Mol Cell,2023
30098714,NPEPPS,A screening campaign identified modulators of Puromycin-sensitive aminopeptidase.,Free Radic Biol Med,2025
30034520,VDR,Vitamin D3 receptor was investigated as a therapeutic target.,Endocrinology,2021
30024583,ZFAND5,ZFAND5 expression correlated with treatment response.,Cell,2024
30091284,TM7SF2,Delta(14)-sterol reductase TM7SF2 was investigated as a therapeutic target.,Cell,2025
30047447,RPL7A,RPL7A expression correlated with treatment response.,Blood,2023
30058420,GIPC1,A screening campaign identified modulators of PDZ domain-containing protein GIPC1.,Nat Med,2021
30022718,IGLV1-50,Probable non-functional immunoglobulin lambda variable 1-50 was investigated as a therapeutic target.,Nat Rev Drug Discov,2024
30029184,PLCL1,Inactive phospholipase C-like protein 1 was investigated as a therapeutic target.,J Immunol,2025
30028567,IGLV2-11,IGLV2-11 expression correlated with treatment response.,Cancer Res,2023
30085016,OPRL1,A screening campaign identified modulators of Nociceptin receptor.,Mol Cell,2022
30054142,IGKV2D-30,Immunoglobulin kappa variable 2D-30 was investigated as a therapeutic target.,Endocrinology,2023
30032053,EPO,Inhibition of EPO altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2024
30058169,MAPKBP1,Inhibition of MAPKBP1 altered disease-relevant signalling in vitro.,Cancer Res,2025
30028282,TBKBP1,TANK-binding kinase 1-binding protein 1 was investigated as a therapeutic target.,J Biol Chem,2023
30061928,GIMD1,GTPase IMAP family member GIMD1 was investigated as a therapeutic target.,Circulation,2024
30068796,ETV6,A screening campaign identified modulators of Transcription factor ETV6.,J Immunol,2022
30013614,KATNIP,A screening campaign identified modulators of Katanin-interacting protein.,Free Radic Biol Med,2025
30047385,KRT33A,Inhibition of KRT33A altered disease-relevant signalling in vitro.,Cancer Res,2021
30067414,JTB,A screening campaign identified modulators of Protein JTB.,Cell,2025
30043076,CLCN2,A screening campaign identified modulators of Chloride channel protein 2.,Free Radic Biol Med,2022
30041344,MMP9,Matrix metalloproteinase-9 was investigated as a therapeutic target.,J Immunol,2025
30010420,HTR6,A screening campaign identified modulators of 5-hydroxytryptamine receptor 6.,Mol Cell,2021
30051332,SOX15,A screening campaign identified modulators of Transcription factor SOX-15.,J Biol Chem,2023
30050746,MGRN1,A screening campaign identified modulators of E3 ubiquitin-protein ligase MGRN1.,Diabetes,2022
30084105,OPRL1,Inhibition of OPRL1 altered disease-relevant signalling in vitro.,J Biol Chem,2021
30084628,ZNF888,Zinc finger protein 888 was investigated as a therapeutic target.,J Biol Chem,2024
30094178,CTRL,Chymotrypsin-like protease CTRL-1 was investigated as a therapeutic target.,Endocrinology,2024
30060803,CCL11,CCL11 expression correlated with treatment response.,Cancer Res,2024
30085842,TRPM8,Transient receptor potential cation channel subfamily M member 8 was investigated as a therapeutic target.,Nat Med,2023
30048665,CLCN5,Inhibition of CLCN5 altered disease-relevant signalling in vitro.,J Immunol,2021
30025470,DYRK1B,A screening campaign identified modulators of Dual specificity tyrosine-phosphorylation-regulated kinase 1B.,Mol Cell,2021
30068546,MAPK10,A screening campaign identified modulators of Mitogen-activated protein kinase 10.,Diabetes,2022
30033280,RPS7,Small ribosomal subunit protein eS7 was investigated as a therapeutic target.,J Biol Chem,2021
30087403,EEF1G,EEF1G expression correlated with treatment response.,Nat Rev Drug Discov,2024
30015470,KISS1R,A screening campaign identified modulators of KiSS-1 receptor.,Cell,2021
30064253,THRB,Inhibition of THRB altered disease-relevant signalling in vitro.,Mol Cell,2024
30048900,LSAMP,Limbic system-associated membrane protein was investigated as a therapeutic target.,Endocrinology,2021
30074706,IGLV1-47,A screening campaign identified modulators of Immunoglobulin lambda variable 1-47.,J Biol Chem,2022
30023489,CNTF,Inhibition of CNTF altered disease-relevant signalling in vitro.,Mol Cell,2025
30093605,IGKV2D-24,Inhibition of IGKV2D-24 altered disease-relevant signalling in vitro.,Blood,2021
30031702,GHSR,Growth hormone secretagogue receptor type 1 was investigated as a therapeutic target.,Circulation,2023
30072462,CPE,A screening campaign identified modulators of Carboxypeptidase E.,Nat Rev Drug Discov,2023
30073047,KDR,KDR expression correlated with treatment response.,Blood,2023
30045866,ADRB2,A screening campaign identified modulators of Beta-2 adrenergic receptor.,Circulation,2022
30028066,CCR5,A screening campaign identified modulators of C-C chemokine receptor type 5.,Nat Rev Drug Discov,2022
30085624,IGLV2-14,A screening campaign identified modulators of Immunoglobulin lambda variable 2-14.,J Immunol,2025
30077480,IGLV5-37,Immunoglobulin lambda variable 5-37 was investigated as a therapeutic target.,Circulation,2021
30020773,IGHG2,Inhibition of IGHG2 altered disease-relevant signalling in vitro.,Mol Cell,2024
30093672,PSMC5,26S proteasome regulatory subunit 8 was investigated as a therapeutic target.,Endocrinology,2023
30013520,LSM3,U6 snRNA-associated Sm-like protein LSm3 was investigated as a therapeutic target.,Circulation,2021
30039723,MAPK11,MAPK11 expression correlated with treatment response.,J Immunol,2024
30046652,UBC,A screening campaign identified modulators of Polyubiquitin-C.,Blood,2023
30067452,GAGE12I,G antigen 12I was investigated as a therapeutic target.,Cancer Res,2023
30010767,CDK5R1,CDK5R1 expression correlated with treatment response.,Endocrinology,2023
30022232,MELK,Maternal embryonic leucine zipper kinase was investigated as a therapeutic target.,Diabetes,2023
30030764,SPDYE6,Speedy protein E6 was investigated as a therapeutic target.,Circulation,2025
30080584,NPPB,Natriuretic peptides B was investigated as a therapeutic target.,Blood,2025
30036907,IL7R,IL7R expression correlated with treatment response.,Nat Rev Drug Discov,2023
30097880,MBTD1,A screening campaign identified modulators of MBT domain-containing protein 1.,Circulation,2021
30010071,IL15,IL15 expression correlated with treatment response.,Nat Med,2022
30082994,RIPK1,Receptor-interacting serine/threonine-protein kinase 1 was investigated as a therapeutic target.,Nat Rev Drug Discov,2025
30035192,MARK3,A screening campaign identified modulators of MAP/microtubule affinity-regulating kinase 3.,Circulation,2023
30034512,HIPK2,A screening campaign identified modulators of Homeodomain-interacting protein kinase 2.,Circulation,2023
30017203,ERC2-IT1,ERC2-IT1 expression correlated with treatment response.,Circulation,2024
30099704,NEK2,Serine/threonine-protein kinase Nek2 was investigated as a therapeutic target.,Cancer Res,2025
30073208,PTH,Parathyroid hormone was investigated as a therapeutic target.,Blood,2024
30086102,EZH2,A screening campaign identified modulators of Histone-lysine N-methyltransferase EZH2.,Cancer Res,2023
30091314,FAAH,A screening campaign identified modulators of Fatty-acid amide hydrolase 1.,J Biol Chem,2025
30062363,GALR2,GALR2 expression correlated with treatment response.,J Immunol,2024
30090428,GALR1,Galanin receptor type 1 was investigated as a therapeutic target.,Circulation,2024
30099494,CBR1,Carbonyl reductase [NADPH] 1 was investigated as a therapeutic target.,Blood,2025
30094887,SCN10A,SCN10A expression correlated with treatment response.,Endocrinology,2023
30095644,IGF2,Insulin-like growth factor 2 was investigated as a therapeutic target.,J Immunol,2025
30031610,STMN1,A screening campaign identified modulators of Stathmin.,Cancer Res,2021
30049864,SELE,E-selectin was investigated as a therapeutic target.,Cell,2025
30093674,IGKV1D-12,A screening campaign identified modulators of Immunoglobulin kappa variable 1D-12.,Cell,2025
30072831,CLCN3,CLCN3 expression correlated with treatment response.,Mol Cell,2022
30085832,SRC,Proto-oncogene tyrosine-protein kinase Src was investigated as a therapeutic target.,Mol Cell,2023
30021545,PRKD1,Inhibition of PRKD1 altered disease-relevant signalling in vitro.,Endocrinology,2021
30025122,GPM6B,Neuronal membrane glycoprotein M6-b was investigated as a therapeutic target.,Endocrinology,2023
30069992,NEBL,Nebulette was investigated as a therapeutic target.,Nat Rev Drug Discov,2023
30066809,FGF18,Inhibition of FGF18 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2025
30026164,TRIO,Triple functional domain protein was investigated as a therapeutic target.,Cell,2025
30037909,XRCC4,Inhibition of XRCC4 altered disease-relevant signalling in vitro.,Diabetes,2025
30080114,ACE,A screening campaign identified modulators of Angiotensin-converting enzyme.,Blood,2025
30091838,SRPK1,SRSF protein kinase 1 was investigated as a therapeutic target.,Mol Cell,2024
30068388,APEX1,DNA repair nuclease/redox regulator APEX1 was investigated as a therapeutic target.,Nat Med,2024
30087920,TSPY8,A screening campaign identified modulators of Testis-specific Y-encoded protein 8.,Blood,2021
30027712,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase was investigated as a therapeutic target.,Cell,2023
30074361,CAD,Inhibition of CAD altered disease-relevant signalling in vitro.,Blood,2022
30021745,ADH7,Inhibition of ADH7 altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2021
30026285,PAFAH1B3,Inhibition of PAFAH1B3 altered disease-relevant signalling in vitro.,J Biol Chem,2021
30094760,ATP5MG,"A screening campaign identified modulators of ATP synthase F(0) complex subunit g, mitochondrial.",Blood,2021
30065564,SETSIP,Protein SETSIP was investigated as a therapeutic target.,Blood,2025
30065742,NTSR2,Neurotensin receptor type 2 was investigated as a therapeutic target.,Cell,2023
30012160,FAP,A screening campaign identified modulators of Prolyl endopeptidase FAP.,Endocrinology,2021
30053231,IGKV2D-30,IGKV2D-30 expression correlated with treatment response.,Endocrinology,2022
30044176,ARSD,A screening campaign identified modulators of Arylsulfatase D.,Cancer Res,2022
30074944,OXA1L,Mitochondrial inner membrane protein OXA1L was investigated as a therapeutic target.,Circulation,2025
30012342,NCR3,A screening campaign identified modulators of Natural cytotoxicity triggering receptor 3.,Blood,2023
30069512,PTPN12,Tyrosine-protein phosphatase non-receptor type 12 was investigated as a therapeutic target.,Circulation,2023
30094352,MMP13,A screening campaign identified modulators of Collagenase 3.,Cancer Res,2023
30014014,STAG3L3,A screening campaign identified modulators of STAG3-like protein 3.,Circulation,2025
30071438,VARS1,Valine--tRNA ligase was investigated as a therapeutic target.,Nat Med,2024
30088956,NCR1,A screening campaign identified modulators of Natural cytotoxicity triggering receptor 1.,Mol Cell,2022
30087819,PSA,Sensitivity to puromycin distinguished this aminopeptidase activity in brain lysates.,Mol Cell,2023
30067720,FGF18,A screening campaign identified modulators of Fibroblast growth factor 18.,J Biol Chem,2021
30018114,ERC2-IT1,Putative uncharacterized protein encoded by ERC2-IT1 was investigated as a therapeutic target.,Nat Rev Drug Discov,2025
30044865,ENO4,Inhibition of ENO4 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2021
30053080,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7 was investigated as a therapeutic target.,Nat Med,2021
30022656,ADH7,A screening campaign identified modulators of All-trans-retinol dehydrogenase [NAD(+)] ADH7.,Diabetes,2022
30038144,PDE9A,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A was investigated as a therapeutic target.",Nat Rev Drug Discov,2025
30032467,IFNA17,IFNA17 expression correlated with treatment response.,J Immunol,2023
30066652,IGKV2D-40,Immunoglobulin kappa variable 2D-40 was investigated as a therapeutic target.,Mol Cell,2023
30050884,TRGV10,Probable non-functional T cell receptor gamma variable 10 was investigated as a therapeutic target.,Blood,2025
30038820,XRCC4,A screening campaign identified modulators of DNA repair protein XRCC4.,Mol Cell,2021
30064444,TIMM23,A screening campaign identified modulators of Mitochondrial import inner membrane translocase subunit Tim23.,Blood,2025
30069294,TRIM49,A screening campaign identified modulators of Tripartite motif-containing protein 49.,Free Radic Biol Med,2025
30058340,EGFR,Epidermal growth factor receptor was investigated as a therapeutic target.,Nat Med,2021
30099351,MERTK,MERTK expression correlated with treatment response.,J Immunol,2022
30026094,NCS1,A screening campaign identified modulators of Neuronal calcium sensor 1.,Nat Rev Drug Discov,2025
30022967,ABL1,ABL1 expression correlated with treatment response.,J Immunol,2023
30047676,SUOX,"A screening campaign identified modulators of Sulfite oxidase, mitochondrial.",Cancer Res,2022
30089772,A2ML1,Alpha-2-macroglobulin-like protein 1 was investigated as a therapeutic target.,Cancer Res,2023
30077952,DISP2,Protein dispatched homolog 2 was investigated as a therapeutic target.,Nat Med,2023
30052872,TNF,Tumor necrosis factor was investigated as a therapeutic target.,Free Radic Biol Med,2023
30042306,SPEGNB,A screening campaign identified modulators of SPEG neighbor protein.,Cancer Res,2022
30086106,VEGFA,"A screening campaign identified modulators of Vascular endothelial growth factor A, long form.",Circulation,2022
30091250,PCDHGA12,A screening campaign identified modulators of Protocadherin gamma-A12.,Mol Cell,2021
30075161,JCHAIN,Inhibition of JCHAIN altered disease-relevant signalling in vitro.,Free Radic Biol Med,2022
30098791,RGS20,RGS20 expression correlated with treatment response.,Diabetes,2022
30024066,REG3A,A screening campaign identified modulators of Regenerating islet-derived protein 3-alpha.,Cancer Res,2022
30023034,EXOSC9,Exosome complex component RRP45 was investigated as a therapeutic target.,Endocrinology,2025
30014776,CLCA1,A screening campaign identified modulators of Calcium-activated chloride channel regulator 1.,Diabetes,2022
30056125,IFI27,Inhibition of IFI27 altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2021
30093441,MMP13,Inhibition of MMP13 altered disease-relevant signalling in vitro.,Cancer Res,2022
30011178,TNP2,Nuclear transition protein 2 was investigated as a therapeutic target.,Mol Cell,2024
30014953,IGLV4-69,Inhibition of IGLV4-69 altered disease-relevant signalling in vitro.,Endocrinology,2024
30031148,PIM2,Serine/threonine-protein kinase pim-2 was investigated as a therapeutic target.,J Immunol,2024
30054558,HDAC6,Protein deacetylase HDAC6 was investigated as a therapeutic target.,J Immunol,2024
30015014,IFNA21,A screening campaign identified modulators of Interferon alpha-21.,Diabetes,2025
30051140,ZNF705D,A screening campaign identified modulators of Zinc finger protein 705D.,Blood,2021
30024353,AP1S1,Inhibition of AP1S1 altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2024
30045776,ENO4,A screening campaign identified modulators of Enolase 4.,Mol Cell,2022
30013404,HSP90AA1,A screening campaign identified modulators of Heat shock protein HSP 90-alpha.,Endocrinology,2025
30057036,IFI27,"A screening campaign identified modulators of Interferon alpha-inducible protein 27, mitochondrial.",J Biol Chem,2022
30047020,GOLGA8A,Golgin subfamily A member 8A was investigated as a therapeutic target.,Mol Cell,2021
30035585,ETV5,Inhibition of ETV5 altered disease-relevant signalling in vitro.,Blood,2021
30038660,CSNK2A1,Casein kinase II subunit alpha was investigated as a therapeutic target.,Mol Cell,2021
30092481,GHRH,Inhibition of GHRH altered disease-relevant signalling in vitro.,Circulation,2022
30066765,RRAS2,Inhibition of RRAS2 altered disease-relevant signalling in vitro.,J Biol Chem,2021
30092934,IFNB1,A screening campaign identified modulators of Interferon beta.,Nat Rev Drug Discov,2025
30042292,ATP10A,Phospholipid-transporting ATPase VA was investigated as a therapeutic target.,Cancer Res,2023
30093991,ID1,ID1 expression correlated with treatment response.,Cancer Res,2022
30065344,MAP3K7,Mitogen-activated protein kinase kinase kinase 7 was investigated as a therapeutic target.,Cell,2025
30088314,EEF1G,Elongation factor 1-gamma was investigated as a therapeutic target.,Cell,2025
30085792,TRBC1,A screening campaign identified modulators of T cell receptor beta constant 1.,Circulation,2023
30039154,CDK6,A screening campaign identified modulators of Cyclin-dependent kinase 6.,J Immunol,2025
30073742,CLCN3,H(+)/Cl(-) exchange transporter 3 was investigated as a therapeutic target.,Free Radic Biol Med,2023
30099290,SMAD4,A screening campaign identified modulators of SMAD family member 4.,Diabetes,2021
30068648,SLC26A3,Chloride anion exchanger was investigated as a therapeutic target.,Nat Rev Drug Discov,2024
30046765,SUOX,Inhibition of SUOX altered disease-relevant signalling in vitro.,Nat Rev Drug Discov,2021
30010616,PSA,Serum levels of the glycoprotein guided biopsy decisions in the population screening cohort.,Circulation,2023
30058520,TRGV11,Probable non-functional T cell receptor gamma variable 11 was investigated as a therapeutic target.,J Immunol,2021
30090984,URB1,A screening campaign identified modulators of Nucleolar pre-ribosomal-associated protein 1.,Endocrinology,2025
30093849,ATP5MG,Inhibition of ATP5MG altered disease-relevant signalling in vitro.,Cell,2025
30093083,MYL12B,MYL12B expression correlated with treatment response.,Circulation,2024
30058883,UCHL1,UCHL1 expression correlated with treatment response.,Mol Cell,2024
30061273,DPEP1,Inhibition of DPEP1 altered disease-relevant signalling in vitro.,Blood,2024
30028966,KCNQ2,A screening campaign identified modulators of Potassium voltage-gated channel subfamily KQT member 2.,Cancer Res,2022
30029478,IGLV2-11,Immunoglobulin lambda variable 2-11 was investigated as a therapeutic target.,Nat Med,2024
30064698,CRYBB3,Beta-crystallin B3 was investigated as a therapeutic target.,Nat Rev Drug Discov,2024
30042165,CLCN2,Inhibition of CLCN2 altered disease-relevant signalling in vitro.,Free Radic Biol Med,2021
30038401,MAST3,Inhibition of MAST3 altered disease-relevant signalling in vitro.,Blood,2022
30045763,CA12,CA12 expression correlated with treatment response.,Nat Med,2024
30049549,DUX4L5,Inhibition of DUX4L5 altered disease-relevant signalling in vitro.,Mol Cell,2025
30062893,LRRIQ3,Inhibition of LRRIQ3 altered disease-relevant signalling in vitro.,J Immunol,2024
30050410,ZNF292,A screening campaign identified modulators of Zinc finger protein 292.,Nat Rev Drug Discov,2021
30014404,WEE1,Wee1-like protein kinase was investigated as a therapeutic target.,Nat Med,2025
30079856,CHML,A screening campaign identified modulators of Rab proteins geranylgeranyltransferase component A 2.,Free Radic Biol Med,2022
30033378,IFNA17,Interferon alpha-17 was investigated as a therapeutic target.,Nat Rev Drug Discov,2024
30087478,SIPA1L3,Signal-induced proliferation-associated 1-like protein 3 was investigated as a therapeutic target.,J Biol Chem,2024
